collection,contract,tokenId,buyer,seller,price_eth,marketplace,block,timestamp,txhash
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5806,0xc5f8b5a145b699d6972d07105d353a053e6dfffa,0xc5f8b5a145b699d6972d07105d353a053e6dfffa,12.930937,seaport,19507703,1711323034,0x16078bdf9d0f63fb52d18e39402d2fb2b64ce3fdbdddedaed5cc4c1a616c6c54
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5806,0x1fee3385b22d69e93209db2042be58fcac57b59b,0xc5f8b5a145b699d6972d07105d353a053e6dfffa,13.594062,seaport,19507703,1711323034,0x16078bdf9d0f63fb52d18e39402d2fb2b64ce3fdbdddedaed5cc4c1a616c6c54
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8473,0x75b47299f9d44df5c597854bc98c444578e481b1,0x75b47299f9d44df5c597854bc98c444578e481b1,12.569125,seaport,19505364,1711294678,0xa50218d19c19db321dd8610e3bd99ba2af6ce16390a65efe944f961c32ea4f0e
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8473,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,0x75b47299f9d44df5c597854bc98c444578e481b1,13.480875,seaport,19505364,1711294678,0xa50218d19c19db321dd8610e3bd99ba2af6ce16390a65efe944f961c32ea4f0e
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8322,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0x1d6bd644bf98b718e260ae53ea224465c7a72b40,20.0,seaport,19502245,1711256867,0x0cbc5028dec328df06c2545971574106b8c2f4e2867010a1779797d94e5c234c
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8609,0x73d30ba3dc4ffd17c28cc2d75d12e50df98f29cf,0x73d30ba3dc4ffd17c28cc2d75d12e50df98f29cf,13.286423,seaport,19501994,1711253824,0x8312d39f957c035d699c44076a46bbf8064680f1d6ed4059bccd27f79aa95c1c
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8609,0x1fee3385b22d69e93209db2042be58fcac57b59b,0x73d30ba3dc4ffd17c28cc2d75d12e50df98f29cf,13.967778,seaport,19501994,1711253824,0x8312d39f957c035d699c44076a46bbf8064680f1d6ed4059bccd27f79aa95c1c
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7277,0x73b444b0931de0283498e4dfe8d97e6ba723eac3,0x73b444b0931de0283498e4dfe8d97e6ba723eac3,22.425,seaport,19496994,1711193209,0x8cf3748f70d383a223ba9727ea32d667c3d869b785c325347729360688def4cd
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7277,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0x73b444b0931de0283498e4dfe8d97e6ba723eac3,23.575,seaport,19496994,1711193209,0x8cf3748f70d383a223ba9727ea32d667c3d869b785c325347729360688def4cd
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7214,0x73b444b0931de0283498e4dfe8d97e6ba723eac3,0x73b444b0931de0283498e4dfe8d97e6ba723eac3,22.425,seaport,19496994,1711193209,0x8cf3748f70d383a223ba9727ea32d667c3d869b785c325347729360688def4cd
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7214,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0x73b444b0931de0283498e4dfe8d97e6ba723eac3,23.575,seaport,19496994,1711193209,0x8cf3748f70d383a223ba9727ea32d667c3d869b785c325347729360688def4cd
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2348,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0xe8377f53834d8213fc7ae5404e4f37f67da63f80,14.2188,seaport,19496299,1711184783,0x880a98dd6dfabfe0b203e3db5827e9cacc94858b7e6a75fe8834fa803bf4cc2d
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9258,0xbbdac7ba85af15420afd1f4aa3313c3535b15cde,0xbbdac7ba85af15420afd1f4aa3313c3535b15cde,13.43745,seaport,19495176,1711171169,0x107e68261f687c1e250e39e65fca949c1f332b6f33193e7a1f0ead5a8f288bd2
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9258,0x1fee3385b22d69e93209db2042be58fcac57b59b,0xbbdac7ba85af15420afd1f4aa3313c3535b15cde,14.12655,seaport,19495176,1711171169,0x107e68261f687c1e250e39e65fca949c1f332b6f33193e7a1f0ead5a8f288bd2
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7232,0x1e04bfb945dfa23ed8bdea67947ca0d7b5fff75d,0x0e20029447dbe48e27f8ad9d34d47a32bc713928,0.69,seaport,19493808,1711154585,0xb49626da98122677b9e21bd768939ab6656d1e4298f3fa64e7f51b3b081f8c6e
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,67,0x0e20029447dbe48e27f8ad9d34d47a32bc713928,0x1e04bfb945dfa23ed8bdea67947ca0d7b5fff75d,0.0,seaport,19493384,1711149445,0x56359ce85dca36e5d600a615cb55df34091fc1bf0db49e625192d2fd15429583
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9872,0x2db279e5e8d752dc0fc7de12829afe4b8cef4d84,0x2db279e5e8d752dc0fc7de12829afe4b8cef4d84,13.508456,seaport,19492602,1711139965,0x03c08bda7aac3dbb6af902361afdfae39174cc612b2a0ee5cd6995f21c2bb500
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9872,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,0x2db279e5e8d752dc0fc7de12829afe4b8cef4d84,14.488344,seaport,19492602,1711139965,0x03c08bda7aac3dbb6af902361afdfae39174cc612b2a0ee5cd6995f21c2bb500
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5952,0xb2f93d80cad1107b9f321230d72996ea70a514d4,0xce841f783dc6d9df256af36b1cf6b3a52aa57cdc,14.495,seaport,19491622,1711128084,0x792129700d15c63ded997fcc1913c6f15640e99672e71817c8ccb72a789a15c7
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,67,0x1e04bfb945dfa23ed8bdea67947ca0d7b5fff75d,0x1d6bd644bf98b718e260ae53ea224465c7a72b40,14.5,seaport,19486210,1711062475,0x7f102bb410380a6eb54deb383a99c07f4e102163b230f026ea72d3f30ce88c71
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8834,0x88f09bdc8e99272588242a808052eb32702f88d0,0x1e04bfb945dfa23ed8bdea67947ca0d7b5fff75d,16.23,seaport,19486191,1711062244,0x6d7f0ce6418dd45e80128d7a627744ddbf89e8b9ce7ee0c99fa44b3816e79c08
