sale_id,price_eth,price_z,buyer_activity,seller_activity,token_gap_h,mkt_code,label_wash
1015,34.8,0.47035904769128206,13,9,142.17638888888888,1,0
1016,32.5,0.3359361493822087,1,12,473.34,2,0
1017,32.0,0.30671378018458406,1,5,473.34,1,0
1018,5.6,-0.1921644906166138,1,21,473.34,2,0
1019,31.2,0.25995798946838455,6,1,473.34,1,0
1020,40.0,0.7742716873465788,4,3,473.34,2,0
1021,30.99,0.24768459440538215,1,9,1729.8547222222223,1,0
1022,35.0,0.4820479953703321,2,12,473.34,2,0
1023,33.5,0.3943808877774581,2,1,473.34,1,0
1024,5.24,-0.22523828883263727,4,1,1825.2122222222222,1,0
1025,5.395,-0.210998181267405,18,10,473.34,1,0
1026,33.95,0.4206810200553205,3,5,259.79833333333335,1,0
1027,5.4,-0.21053882295884904,8,1,473.34,2,0
1028,31.3,0.2658024633079096,2,19,473.34,2,0
1029,31.15,0.25703575254862204,3,1,1467.9325,1,0
1030,31.75,0.29210259558577173,1,9,118.10972222222222,1,0
1031,30.7125,0.23146617950070045,2,2,473.34,1,1
1032,33.25,0.3797697031786458,1,9,473.34,1,0
1033,30.070268,0.19393109827164268,1,1,473.34,1,1
1034,33.0,0.3651585185798334,2,6,473.34,1,0
1035,36.36,0.5615328395878711,10,1,473.34,1,0
1036,31.99,0.3061293328006315,17,7,473.34,1,0
1037,32.0,0.30671378018458406,17,1,1180.1247222222223,1,0
1038,31.689955,0.28859328126882905,17,56,473.34,1,0
1039,31.5,0.2774914109869594,17,33,2418.7991666666667,1,1
1040,32.00799,0.3071807536443621,4,1,473.34,1,0
1041,5.399,-0.21063069462056025,11,37,314.2813888888889,1,0
1042,9.0,0.12019915920138617,1,1,473.34,1,0
1043,5.85,-0.1691965751888197,1,1,2137.37,1,0
1044,32.0,0.30671378018458406,10,1,473.34,1,0
1045,0.85,-0.628554883744702,2,1,473.34,1,0
1046,32.175,0.31694160940375254,1,1,473.34,1,1
1047,30.55,0.22196890951147255,17,7,473.34,1,0
1048,30.69689,0.2305538571343507,17,33,20.63388888888889,1,1
1049,31.39,0.271062489763482,17,8,1741.29,1,0
1050,31.4,0.2716469371474344,17,2,473.34,1,0
1051,29.5515,0.1636118382238161,1,1,30.26527777777778,1,1
1052,30.2389,0.2037867513967105,1,14,473.34,1,0
1053,33.345,0.3853219533261944,1,1,473.34,1,1
1054,4.90113,-0.25637083883670364,1,1,473.34,1,1
1055,31.87275,0.2992766872237886,1,1,473.34,1,1
1056,5.45,-0.20594523987329022,1,37,473.34,2,0
1057,38.69,0.697709080048802,1,4,473.34,1,0
1058,26.94238,0.01112250238200308,3,1,473.34,1,1
1059,40.0,0.7742716873465788,3,5,169.8411111111111,1,0
1060,5.2,-0.22891315530108433,1,2,473.34,2,0
1061,4.6176,-0.2824192110816735,1,1,473.34,1,1
1062,27.675765,0.05398499685000293,1,1,473.34,1,1
1063,29.949951,0.18689920268214147,2,1,473.34,1,0
1064,33.85,0.41483654621579547,1,3,473.34,1,0
1065,32.49,0.33535170199825637,1,9,2938.33,1,0
1066,29.94,0.1863176190903705,2,9,791.4619444444445,1,0
1067,36.0,0.5404927337655815,1,1,473.34,1,0
1068,4.877535,-0.2585385506947789,1,1,2210.608333333333,1,1
